DB opened
GET [EMMA] [NULL]
PUT [EMMA] [1]
GET [By] [NULL]
PUT [By] [1]
GET [Jane] [NULL]
PUT [Jane] [1]
GET [Austen] [NULL]
PUT [Austen] [1]
GET [VOLUME] [NULL]
PUT [VOLUME] [1]
GET [I] [NULL]
PUT [I] [1]
GET [CHAPTER] [NULL]
PUT [CHAPTER] [1]
GET [I] [1]
PUT [I] [2]
GET [Emma] [NULL]
PUT [Emma] [1]
GET [Woodhouse] [NULL]
PUT [Woodhouse] [1]
GET [handsome] [NULL]
PUT [handsome] [1]
GET [clever] [NULL]
PUT [clever] [1]
GET [and] [NULL]
PUT [and] [1]
GET [rich] [NULL]
PUT [rich] [1]
GET [with] [NULL]
PUT [with] [1]
GET [a] [NULL]
PUT [a] [1]
GET [comfortable] [NULL]
PUT [comfortable] [1]
GET [home] [NULL]
PUT [home] [1]
GET [and] [1]
PUT [and] [2]
GET [happy] [NULL]
PUT [happy] [1]
GET [disposition] [NULL]
PUT [disposition] [1]
GET [seemed] [NULL]
PUT [seemed] [1]
GET [to] [NULL]
PUT [to] [1]
GET [unite] [NULL]
PUT [unite] [1]
GET [some] [NULL]
PUT [some] [1]
GET [of] [NULL]
PUT [of] [1]
GET [the] [NULL]
PUT [the] [1]
GET [best] [NULL]
PUT [best] [1]
GET [blessings] [NULL]
PUT [blessings] [1]
GET [of] [1]
PUT [of] [2]
GET [existence] [NULL]
PUT [existence] [1]
GET [and] [2]
PUT [and] [3]
GET [had] [NULL]
PUT [had] [1]
GET [lived] [NULL]
PUT [lived] [1]
GET [nearly] [NULL]
PUT [nearly] [1]
GET [twenty-one] [NULL]
PUT [twenty-one] [1]
GET [years] [NULL]
PUT [years] [1]
GET [in] [NULL]
PUT [in] [1]
GET [the] [1]
PUT [the] [2]
GET [world] [NULL]
PUT [world] [1]
GET [with] [1]
PUT [with] [2]
GET [very] [NULL]
PUT [very] [1]
GET [little] [NULL]
PUT [little] [1]
GET [to] [1]
PUT [to] [2]
GET [distress] [NULL]
PUT [distress] [1]
GET [or] [NULL]
PUT [or] [1]
GET [vex] [NULL]
PUT [vex] [1]
GET [her] [NULL]
PUT [her] [1]
GET [She] [NULL]
PUT [She] [1]
GET [was] [NULL]
PUT [was] [1]
GET [the] [2]
PUT [the] [3]
GET [youngest] [NULL]
PUT [youngest] [1]
GET [of] [2]
PUT [of] [3]
GET [the] [3]
PUT [the] [4]
GET [two] [NULL]
PUT [two] [1]
GET [daughters] [NULL]
PUT [daughters] [1]
GET [of] [3]
PUT [of] [4]
GET [a] [1]
PUT [a] [2]
GET [most] [NULL]
PUT [most] [1]
GET [affectionate] [NULL]
PUT [affectionate] [1]
GET [indulgent] [NULL]
PUT [indulgent] [1]
GET [father] [NULL]
PUT [father] [1]
GET [and] [3]
PUT [and] [4]
GET [had] [1]
PUT [had] [2]
GET [in] [1]
PUT [in] [2]
GET [consequence] [NULL]
PUT [consequence] [1]
GET [of] [4]
PUT [of] [5]
GET [her] [1]
PUT [her] [2]
GET [sister's] [NULL]
PUT [sister's] [1]
GET [marriage] [NULL]
PUT [marriage] [1]
GET [been] [NULL]
PUT [been] [1]
GET [mistress] [NULL]
PUT [mistress] [1]
GET [of] [5]
PUT [of] [6]
GET [his] [NULL]
PUT [his] [1]
GET [house] [NULL]
PUT [house] [1]
GET [from] [NULL]
PUT [from] [1]
GET [a] [2]
PUT [a] [3]
GET [very] [1]
PUT [very] [2]
GET [early] [NULL]
PUT [early] [1]
GET [period] [NULL]
PUT [period] [1]
GET [Her] [NULL]
PUT [Her] [1]
GET [mother] [NULL]
PUT [mother] [1]
GET [had] [2]
PUT [had] [3]
GET [died] [NULL]
PUT [died] [1]
GET [too] [NULL]
PUT [too] [1]
GET [long] [NULL]
PUT [long] [1]
GET [ago] [NULL]
PUT [ago] [1]
GET [for] [NULL]
PUT [for] [1]
GET [her] [2]
PUT [her] [3]
GET [to] [2]
PUT [to] [3]
GET [have] [NULL]
PUT [have] [1]
GET [more] [NULL]
PUT [more] [1]
GET [than] [NULL]
PUT [than] [1]
GET [an] [NULL]
PUT [an] [1]
GET [indistinct] [NULL]
PUT [indistinct] [1]
GET [remembrance] [NULL]
PUT [remembrance] [1]
GET [of] [6]
PUT [of] [7]
GET [her] [3]
PUT [her] [4]
GET [caresses] [NULL]
PUT [caresses] [1]
GET [and] [4]
PUT [and] [5]
GET [her] [4]
PUT [her] [5]
GET [place] [NULL]
PUT [place] [1]
GET [had] [3]
PUT [had] [4]
GET [been] [1]
PUT [been] [2]
GET [supplied] [NULL]
PUT [supplied] [1]
GET [by] [NULL]
PUT [by] [1]
GET [an] [1]
PUT [an] [2]
GET [excellent] [NULL]
PUT [excellent] [1]
GET [woman] [NULL]
PUT [woman] [1]
GET [as] [NULL]
PUT [as] [1]
GET [governess] [NULL]
PUT [governess] [1]
GET [who] [NULL]
PUT [who] [1]
GET [had] [4]
PUT [had] [5]
GET [fallen] [NULL]
PUT [fallen] [1]
GET [little] [1]
PUT [little] [2]
GET [short] [NULL]
PUT [short] [1]
GET [of] [7]
PUT [of] [8]
GET [a] [3]
PUT [a] [4]
GET [mother] [1]
PUT [mother] [2]
GET [in] [2]
PUT [in] [3]
GET [affection] [NULL]
PUT [affection] [1]
GET [Sixteen] [NULL]
PUT [Sixteen] [1]
GET [years] [1]
PUT [years] [2]
GET [had] [5]
PUT [had] [6]
GET [Miss] [NULL]
PUT [Miss] [1]
GET [Taylor] [NULL]
PUT [Taylor] [1]
GET [been] [2]
PUT [been] [3]
GET [in] [3]
PUT [in] [4]
GET [Mr] [NULL]
PUT [Mr] [1]
GET [Woodhouse's] [NULL]
PUT [Woodhouse's] [1]
GET [family] [NULL]
PUT [family] [1]
GET [less] [NULL]
PUT [less] [1]
GET [as] [1]
PUT [as] [2]
GET [a] [4]
PUT [a] [5]
GET [governess] [1]
PUT [governess] [2]
GET [than] [1]
PUT [than] [2]
GET [a] [5]
PUT [a] [6]
GET [friend] [NULL]
PUT [friend] [1]
GET [very] [2]
PUT [very] [3]
GET [fond] [NULL]
PUT [fond] [1]
GET [of] [8]
PUT [of] [9]
GET [both] [NULL]
PUT [both] [1]
GET [daughters] [1]
PUT [daughters] [2]
GET [but] [NULL]
PUT [but] [1]
GET [particularly] [NULL]
PUT [particularly] [1]
GET [of] [9]
PUT [of] [10]
GET [Emma] [1]
PUT [Emma] [2]
GET [Between] [NULL]
PUT [Between] [1]
GET [them] [NULL]
PUT [them] [1]
GET [it] [NULL]
PUT [it] [1]
GET [was] [1]
PUT [was] [2]
GET [more] [1]
PUT [more] [2]
GET [the] [4]
PUT [the] [5]
GET [intimacy] [NULL]
PUT [intimacy] [1]
GET [of] [10]
PUT [of] [11]
GET [sisters] [NULL]
PUT [sisters] [1]
GET [Even] [NULL]
PUT [Even] [1]
GET [before] [NULL]
PUT [before] [1]
GET [Miss] [1]
PUT [Miss] [2]
GET [Taylor] [1]
PUT [Taylor] [2]
GET [had] [6]
PUT [had] [7]
GET [ceased] [NULL]
PUT [ceased] [1]
GET [to] [3]
PUT [to] [4]
GET [hold] [NULL]
PUT [hold] [1]
GET [the] [5]
PUT [the] [6]
